cycle,source_w,reserve_w,total_bus_load_w,noncompute_w,compute_budget_w,jetson_allow_w,scheduler_mode,adcs_mode,adcs_power_w,wheel_power_w,comms_power_w,thermal_power_w,propulsion_power_w,payload_power_w,pi_power_w,jetson_power_w,jetson_mode,jetson_job_type,truth_pointing_err_deg,est_pointing_err_deg,tracker_conf,tracker_valid,tracked_stars,comms_mode,comms_backlog_bits,payload_mode,payload_active,dataset_ready,dataset_id,dataset_count,acquisition_stage,active_stage,active_stage_n,roi_count,processing_queue,thermal_mode,heater_active,thermal_temp_c,propulsion_mode,propulsion_active,propulsion_thrust_n,camera_mode,camera_frame_ready,alignment_valid,alignment_score,blur_score,brightness_mean,contrast_score,raw_capture_path,rectified_image_path
15,125.972,20,39.3875,26.3875,59.6887,51.6887,1,"TRACKER_DEGRADED",13.3875,4.38745,4,2,1,6,8,5,"IDLE","none",2.62914,1.47856,0.0950891,0,8,"STANDBY",41649752,"IDLE",0,0,"dataset_0",1,0,3,1024,14,1,"PASSIVE",0,17.52,"IDLE",0,0,"image_file",0,0,0,0,0,0,"",""
16,127.032,20,39.4113,26.4113,60.4658,52.4658,1,"TRACKER_DEGRADED",13.4113,4.41129,4,2,1,6,8,5,"IDLE","none",2.64122,1.49014,0.247517,0,7,"STANDBY",41649752,"IDLE",0,0,"dataset_0",1,0,3,1024,14,1,"PASSIVE",0,17.49,"IDLE",0,0,"image_file",0,0,0,0,0,0,"",""
17,128.037,20,42.4383,29.4383,58.9488,50.9488,1,"CORRECTING",16.4383,4.43831,4,2,1,6,8,5,"IDLE","none",2.64788,1.54153,0.479849,1,13,"STANDBY",41649752,"IDLE",0,0,"dataset_0",1,0,3,1024,14,1,"PASSIVE",0,17.46,"IDLE",0,0,"image_file",0,0,0,0,0,0,"",""
18,128.955,20,42.4649,29.4649,59.6174,51.6174,1,"CORRECTING",16.4649,4.46488,4,2,1,6,8,5,"IDLE","none",2.64908,1.58864,0.51614,1,13,"STANDBY",41649752,"IDLE",0,0,"dataset_0",1,0,3,1024,14,1,"PASSIVE",0,17.43,"IDLE",0,0,"image_file",0,0,0,0,0,0,"",""
19,129.759,20,39.4879,26.4879,62.4533,54.4533,1,"TRACKER_DEGRADED",13.4879,4.4879,4,2,1,6,8,5,"IDLE","none",2.64499,1.5842,0.284974,0,12,"STANDBY",41649752,"IDLE",0,0,"dataset_0",1,0,3,1024,14,1,"PASSIVE",0,17.4,"IDLE",0,0,"image_file",0,0,0,0,0,0,"",""
20,130.426,20,42.5303,29.5303,60.6715,52.6715,1,"CORRECTING",16.5303,4.53031,4,2,1,6,8,5,"IDLE","none",2.67116,1.65433,0.525415,1,15,"STANDBY",41649752,"IDLE",0,0,"dataset_0",1,0,3,1024,14,1,"PASSIVE",0,17.37,"IDLE",0,0,"image_file",0,0,0,0,0,0,"",""
21,130.936,20,42.578,29.578,61.0185,53.0185,1,"CORRECTING",16.578,4.57801,4,2,1,6,8,5,"IDLE","none",2.72134,1.78038,0.936284,1,24,"STANDBY",41649752,"IDLE",0,0,"dataset_0",1,0,3,1024,14,1,"PASSIVE",0,17.34,"IDLE",0,0,"image_file",0,0,0,0,0,0,"",""
22,131.277,20,46.6261,33.6261,58.2381,50.2381,1,"CORRECTING",16.6261,4.62607,4,2,1,10,8,5,"IDLE","none",2.7896,1.88542,0.472939,1,13,"STANDBY",41649752,"ACQUIRE",1,0,"dataset_0",1,1,3,1024,14,1,"PASSIVE",0,17.31,"IDLE",0,0,"image_file",0,0,0,0,0,0,"",""
23,131.441,20,46.6762,33.6762,58.3236,50.3236,1,"CORRECTING",16.6762,4.67618,4,2,1,10,8,5,"IDLE","none",2.87138,2.01306,0.620238,1,20,"STANDBY",41649752,"ACQUIRE",1,0,"dataset_0",1,2,3,1024,14,1,"PASSIVE",0,17.28,"IDLE",0,0,"image_file",0,0,0,0,0,0,"",""
24,131.428,20,42.7286,29.7286,61.2742,53.2742,1,"CORRECTING",16.7286,4.72863,4,2,1,6,8,5,"IDLE","none",2.96261,2.15699,0.757131,1,24,"STANDBY",41649752,"READY",0,1,"dataset_1",2,3,3,1024,14,1,"PASSIVE",0,17.25,"IDLE",0,0,"image_file",1,1,0.502268,0.0126389,0.499568,0.219298,"out_profile/full_demo/datasets/dataset_1/raw_capture_from_file.ppm","out_profile/full_demo/datasets/dataset_1/rectified_input.ppm"
