cycle,source_w,reserve_w,total_bus_load_w,noncompute_w,compute_budget_w,jetson_allow_w,scheduler_mode,adcs_mode,adcs_power_w,wheel_power_w,comms_power_w,thermal_power_w,propulsion_power_w,payload_power_w,pi_power_w,jetson_power_w,jetson_mode,jetson_job_type,truth_pointing_err_deg,est_pointing_err_deg,tracker_conf,tracker_valid,tracked_stars,comms_mode,comms_backlog_bits,payload_mode,payload_active,dataset_ready,dataset_id,dataset_count,acquisition_stage,active_stage,active_stage_n,roi_count,processing_queue,thermal_mode,heater_active,thermal_temp_c,propulsion_mode,propulsion_active,propulsion_thrust_n
18,128.955,20,38.4649,29.4649,59.6174,55.6174,0,"CORRECTING",16.4649,4.46488,4,2,1,6,4,5,"IDLE","none",2.64908,1.58864,0.51614,1,13,"STANDBY",0,"IDLE",0,0,"dataset_0",1,0,0,-1,0,0,"PASSIVE",0,17.43,"IDLE",0,0
19,129.759,20,35.4879,26.4879,62.4533,58.4533,0,"TRACKER_DEGRADED",13.4879,4.4879,4,2,1,6,4,5,"IDLE","none",2.64499,1.5842,0.284974,0,12,"STANDBY",0,"IDLE",0,0,"dataset_0",1,0,0,-1,0,0,"PASSIVE",0,17.4,"IDLE",0,0
20,130.426,20,38.5303,29.5303,60.6715,56.6715,0,"CORRECTING",16.5303,4.53031,4,2,1,6,4,5,"IDLE","none",2.67116,1.65433,0.525415,1,15,"STANDBY",0,"IDLE",0,0,"dataset_0",1,0,0,-1,0,0,"PASSIVE",0,17.37,"IDLE",0,0
21,130.936,20,38.578,29.578,61.0185,57.0185,0,"CORRECTING",16.578,4.57801,4,2,1,6,4,5,"IDLE","none",2.72134,1.78038,0.936284,1,24,"STANDBY",0,"IDLE",0,0,"dataset_0",1,0,0,-1,0,0,"PASSIVE",0,17.34,"IDLE",0,0
22,131.277,20,42.6261,33.6261,58.2381,54.2381,0,"CORRECTING",16.6261,4.62607,4,2,1,10,4,5,"IDLE","none",2.7896,1.88542,0.472939,1,13,"STANDBY",0,"ACQUIRE",1,0,"dataset_0",1,1,0,-1,0,0,"PASSIVE",0,17.31,"IDLE",0,0
23,131.441,20,42.6762,33.6762,58.3236,54.3236,0,"CORRECTING",16.6762,4.67618,4,2,1,10,4,5,"IDLE","none",2.87138,2.01306,0.620238,1,20,"STANDBY",0,"ACQUIRE",1,0,"dataset_0",1,2,0,-1,0,0,"PASSIVE",0,17.28,"IDLE",0,0
24,131.428,20,38.7286,29.7286,61.2742,57.2742,0,"CORRECTING",16.7286,4.72863,4,2,1,6,4,5,"IDLE","none",2.96261,2.15699,0.757131,1,24,"STANDBY",0,"READY",0,1,"dataset_1",2,3,0,-1,0,0,"PASSIVE",0,17.25,"IDLE",0,0
25,131.242,20,38.7827,29.7827,61.0947,57.0947,0,"CORRECTING",16.7827,4.78273,4,2,1,6,4,5,"IDLE","none",3.05959,2.29936,0.67948,1,17,"STANDBY",0,"IDLE",0,0,"dataset_1",2,0,0,-1,0,0,"PASSIVE",0,17.22,"IDLE",0,0
26,130.897,20,38.8375,29.8375,60.7945,56.7945,0,"CORRECTING",16.8375,4.83754,4,2,1,6,4,5,"IDLE","none",3.15905,2.44308,0.710252,1,23,"STANDBY",0,"IDLE",0,0,"dataset_1",2,0,0,-1,0,0,"PASSIVE",0,17.19,"IDLE",0,0
27,130.409,20,35.8917,26.8917,62.6377,58.6377,0,"TRACKER_DEGRADED",13.8917,4.8917,4,2,1,6,4,5,"IDLE","none",3.25834,2.54601,0.178346,0,9,"STANDBY",0,"IDLE",0,0,"dataset_1",2,0,0,-1,0,0,"PASSIVE",0,17.16,"IDLE",0,0
28,129.8,20,35.9448,26.9448,62.1415,58.1415,0,"TRACKER_DEGRADED",13.9448,4.94482,4,2,1,6,4,5,"IDLE","none",3.35561,2.64558,0.366879,0,14,"STANDBY",0,"IDLE",0,0,"dataset_1",2,0,0,-1,0,0,"PASSIVE",0,17.13,"IDLE",0,0
29,129.098,20,39.0018,30.0018,59.3218,55.3218,0,"CORRECTING",17.0018,5.00185,4,2,1,6,4,5,"IDLE","none",3.44975,2.77904,0.646188,1,25,"READY",0,"IDLE",0,0,"dataset_1",2,0,0,-1,0,0,"PASSIVE",0,17.1,"IDLE",0,0
30,128.331,20,36.0562,27.0562,60.9558,56.9558,0,"TRACKER_DEGRADED",14.0562,5.05619,4,2,1,6,4,5,"IDLE","none",3.53895,2.87012,0.145866,0,11,"READY",0,"IDLE",0,0,"dataset_1",2,0,0,-1,0,0,"PASSIVE",0,17.07,"IDLE",0,0
