cycle,source_w,reserve_w,total_bus_load_w,noncompute_w,compute_budget_w,jetson_allow_w,scheduler_mode,adcs_mode,adcs_power_w,comms_power_w,thermal_power_w,propulsion_power_w,payload_power_w,pi_power_w,jetson_power_w,jetson_mode,jetson_job_type,truth_pointing_err_deg,est_pointing_err_deg,tracker_conf,tracker_valid,tracked_stars,comms_mode,comms_backlog_bits,payload_mode,active_stage,active_stage_n,roi_count,processing_queue
31,127.53,20,53.7819,40.7819,50.0614,42.0614,1,"CORRECTING",16.7819,15,2,1,6,8,5,"THROTTLED","none",2.87549,2.24222,0.879987,1,22,"DOWNLINK",41609752,"READY",3,1024,14,1
32,126.729,20,50.8272,37.8272,51.6762,43.6762,1,"TRACKER_DEGRADED",13.8272,15,2,1,6,8,5,"THROTTLED","none",2.9344,2.30139,0.171679,0,6,"DOWNLINK",41601752,"READY",3,1024,14,1
33,125.957,20,53.8757,40.8757,48.8109,40.8109,1,"CORRECTING",16.8757,15,2,1,6,8,5,"THROTTLED","none",2.99338,2.39021,0.581505,1,15,"DOWNLINK",41593752,"READY",3,1024,14,1
34,125.244,20,50.9232,37.9232,50.4906,42.4906,1,"TRACKER_DEGRADED",13.9232,15,2,1,6,8,5,"THROTTLED","none",3.05244,2.4494,0.265204,0,8,"DOWNLINK",41585752,"READY",3,1024,14,1
35,124.616,20,53.9743,40.9743,47.7314,39.7314,1,"CORRECTING",16.9743,15,2,1,6,8,5,"THROTTLED","none",3.11158,2.53978,0.628472,1,17,"DOWNLINK",41577752,"READY",3,1024,14,1
36,124.095,20,54.0262,41.0262,47.3019,39.3019,1,"CORRECTING",17.0262,15,2,1,6,8,5,"THROTTLED","none",3.17077,2.62521,0.554921,1,14,"DOWNLINK",41569752,"READY",3,1024,14,1
37,123.699,20,43.0797,30.0797,55.2142,47.2142,1,"CORRECTING",17.0797,4,2,1,6,8,5,"IDLE","none",3.23004,2.71742,0.747892,1,25,"STANDBY",41569752,"READY",3,1024,14,1
38,123.438,20,43.1356,30.1356,54.9764,46.9764,1,"CORRECTING",17.1356,4,2,1,6,8,5,"IDLE","none",3.28936,2.81399,0.877394,1,22,"STANDBY",41569752,"READY",3,1024,14,1
39,123.317,20,43.1908,30.1908,54.8446,46.8446,1,"CORRECTING",17.1908,4,2,1,6,8,5,"IDLE","none",3.34874,2.89182,0.478588,1,12,"STANDBY",41569752,"READY",3,1024,14,1
40,123.336,20,40.2466,27.2466,57.067,49.067,1,"TRACKER_DEGRADED",14.2466,4,2,1,6,8,5,"IDLE","none",3.40817,2.9521,0.199985,0,5,"STANDBY",41569752,"READY",3,1024,14,1
41,123.487,20,43.305,30.305,54.8867,46.8867,1,"CORRECTING",17.305,4,2,1,6,8,5,"IDLE","none",3.46766,3.04158,0.823252,1,22,"STANDBY",41569752,"READY",3,1024,14,1
42,123.758,20,40.3631,27.3631,57.2959,49.2959,1,"TRACKER_DEGRADED",14.3631,4,2,1,6,8,5,"IDLE","none",3.52719,3.10166,0.204721,0,7,"STANDBY",41569752,"READY",3,1024,14,1
43,124.128,20,40.422,27.422,57.5297,49.5297,1,"TRACKER_DEGRADED",14.422,4,2,1,6,8,5,"IDLE","none",3.58677,3.16196,0.444778,0,15,"STANDBY",41569752,"READY",3,1024,14,1
44,124.576,20,40.4649,27.4649,57.8334,49.8334,1,"TRACKER_DEGRADED",14.4649,4,2,1,6,8,5,"IDLE","none",3.60947,3.18441,0.333277,0,15,"STANDBY",41569752,"READY",3,1024,14,1
45,125.074,20,43.5208,30.5208,55.915,47.915,1,"CORRECTING",17.5208,4,2,1,6,8,5,"IDLE","none",3.63217,3.22421,0.498797,1,14,"STANDBY",41569752,"READY",3,1024,14,1
46,125.593,20,43.5771,30.5771,56.2617,48.2617,1,"CORRECTING",17.5771,4,2,1,6,8,5,"IDLE","none",3.65487,3.26487,0.55174,1,16,"STANDBY",41569752,"READY",3,1024,14,1
47,126.101,20,40.6328,27.6328,58.8511,50.8511,1,"TRACKER_DEGRADED",14.6328,4,2,1,6,8,5,"IDLE","none",3.67758,3.28736,0.272155,0,7,"STANDBY",41569752,"READY",3,1024,14,1
48,126.568,20,40.6887,27.6887,59.1595,51.1595,1,"TRACKER_DEGRADED",14.6887,4,2,1,6,8,5,"IDLE","none",3.70029,3.3095,0.236199,0,11,"STANDBY",41569752,"READY",3,1024,14,1
49,126.964,20,50.7453,37.7453,51.914,43.914,1,"TRACKER_DEGRADED",14.7453,4,12,1,6,8,5,"IDLE","none",3.723,3.33197,0.255212,0,9,"STANDBY",41569752,"READY",3,1024,14,1
50,127.261,20,40.8021,27.8021,59.5941,51.5941,1,"TRACKER_DEGRADED",14.8021,4,2,1,6,8,5,"IDLE","none",3.74572,3.35442,0.362056,0,20,"STANDBY",41569752,"READY",3,1024,14,1
51,127.435,20,40.8591,27.8591,59.6821,51.6821,1,"TRACKER_DEGRADED",14.8591,4,2,1,6,8,5,"IDLE","none",3.76844,3.3766,0.225232,0,19,"STANDBY",41569752,"READY",3,1024,14,1
52,127.467,20,40.9168,27.9168,59.6629,51.6629,1,"TRACKER_DEGRADED",14.9168,4,2,1,6,8,5,"IDLE","none",3.79116,3.3991,0.0572618,0,20,"STANDBY",41569752,"READY",3,1024,14,1
53,127.343,20,40.9749,27.9749,59.5259,51.5259,1,"TRACKER_DEGRADED",14.9749,4,2,1,6,8,5,"IDLE","none",3.81388,3.42212,0.358883,0,20,"STANDBY",41569752,"READY",3,1024,14,1
54,127.053,20,44.0344,31.0344,57.0142,49.0142,1,"CORRECTING",18.0344,4,2,1,6,8,5,"IDLE","none",3.83661,3.46307,0.59653,1,21,"STANDBY",41569752,"READY",3,1024,14,1
55,126.597,20,54.0947,41.0947,49.1265,41.1265,1,"CORRECTING",18.0947,4,12,1,6,8,5,"IDLE","none",3.85933,3.50685,0.737488,1,25,"STANDBY",41569752,"READY",3,1024,14,1
